MM6,diesel,blumarine
545,125,550
390,125,160
390,105,924
390,125,117
190,125,168
185,175,114
325,150,119
355,158,122
325,100,119
210,83,114
210,97,114
185,87,126
309,58,163
257,211,93
195,134,221
146,78,83
143,84,91
